Date,DL_length,player_id,dt_date
20000323,60,thomj005,2000-03-23
20000401,15,alvaw001,2000-04-01
20000401,15,osuna002,2000-04-01
20000408,15,hamid001,2000-04-08
20000408,15,timlm001,2000-04-08
20000408,15,hernc001,2000-04-08
20000621,15,wagnb001,2000-06-21
20000621,15,olivd001,2000-06-21
20000703,15,cabra001,2000-07-03
20000707,15,,2000-07-07
20000707,15,ferno001,2000-07-07
20000712,60,aldrs001,2000-07-12
20000712,60,spens001,2000-07-12
20000731,15,melum001,2000-07-31
20000823,15,giamj002,2000-08-23
20000823,15,buhnj001,2000-08-23
20000926,15,nagyc001,2000-09-26
20010309,60,bellj002,2001-03-09
20010311,60,watsa001,2001-03-11
20010321,60,ethes001,2001-03-21
20010322,15,pavac001,2001-03-22
20010322,15,kaplg001,2001-03-22
20010323,15,,2001-03-23
20010323,15,thoma002,2001-03-23
20010323,15,fryej001,2001-03-23
20010323,15,hernc001,2001-03-23
20010323,15,stepg001,2001-03-23
20010323,15,chrij002,2001-03-23
20010323,15,hackl001,2001-03-23
20010325,15,bonib001,2001-03-25
20010327,15,stule001,2001-03-27
20010327,15,lorem001,2001-03-27
20010327,15,simab001,2001-03-27
20010327,15,,2001-03-27
20010331,15,brocd001,2001-03-31
20010331,15,reyns001,2001-03-31
20010331,60,harvc001,2001-03-31
20010331,15,jahaj001,2001-03-31
20010331,15,thoma002,2001-03-31
20010331,15,fryej001,2001-03-31
20010331,15,sirom001,2001-03-31
20010331,15,,2001-03-31
20010331,15,alvaw001,2001-03-31
20010331,15,sandr002,2001-03-31
20010331,60,cairc001,2001-03-31
20010331,15,nagyc001,2001-03-31
20010331,15,wrigj002,2001-03-31
20010331,15,frymt001,2001-03-31
20010331,15,burna001,2001-03-31
20010331,15,smitc001,2001-03-31
20010331,15,ozunp001,2001-03-31
20010331,60,polic001,2001-03-31
20010331,15,duceb001,2001-03-31
20010331,60,herna001,2001-03-31
20010331,15,cordf001,2001-03-31
20010331,15,schmj001,2001-03-31
20010331,15,bensk001,2001-03-31
20010331,60,loisr001,2001-03-31
20010331,15,sabeb001,2001-03-31
20010331,60,florb001,2001-03-31
20010331,15,coned001,2001-03-31
20010331,15,pichh001,2001-03-31
20010331,15,valej002,2001-03-31
20010331,15,penaj002,2001-03-31
20010331,15,garcn001,2001-03-31
20010331,60,canij001,2001-03-31
20010331,60,eined001,2001-03-31
20010331,15,mendr001,2001-03-31
20010331,15,spens001,2001-03-31
20010331,15,abboj002,2001-03-31
20010401,15,gordt001,2001-04-01
20010401,60,mechg001,2001-04-01
20010401,60,charn001,2001-04-01
20010401,15,abbop001,2001-04-01
20010403,15,aloum001,2001-04-03
20010404,15,,2001-04-04
20010404,15,coomr001,2001-04-04
20010404,60,marta002,2001-04-04
20010404,60,wills002,2001-04-04
20010405,15,,2001-04-05
20010405,15,bushh001,2001-04-05
20010406,60,,2001-04-06
20010406,15,browj004,2001-04-06
20010406,15,,2001-04-06
20010406,15,mulht001,2001-04-06
20010406,15,stync001,2001-04-06
20010409,15,agbab001,2001-04-09
20010409,60,barnj001,2001-04-09
20010409,15,,2001-04-09
20010410,15,woods001,2001-04-10
20010411,60,camme001,2001-04-11
20010411,15,peret004,2001-04-11
20010412,15,painl001,2001-04-12
20010412,60,voylb001,2001-04-12
20010412,15,eldrc001,2001-04-12
20010413,60,stule001,2001-04-13
20010413,60,pavac001,2001-04-13
20010415,15,newhd001,2001-04-15
20010415,15,wincs001,2001-04-15
20010416,15,spieb001,2001-04-16
20010416,15,mcgwm001,2001-04-16
20010417,15,kotsm001,2001-04-17
20010417,15,browa001,2001-04-17
20010419,15,ashba002,2001-04-19
20010419,60,,2001-04-19
20010419,15,crabt001,2001-04-19
20010421,15,,2001-04-21
20010421,15,osuna002,2001-04-21
20010422,15,hillg001,2001-04-22
20010422,15,,2001-04-22
20010424,60,,2001-04-24
20010424,15,walkk001,2001-04-24
20010425,15,,2001-04-25
20010425,60,stepg001,2001-04-25
20010425,60,alvaw001,2001-04-25
20010425,60,wittb001,2001-04-25
20010425,15,leita001,2001-04-25
20010426,15,cresf001,2001-04-26
20010427,60,sirom001,2001-04-27
20010427,15,hamid001,2001-04-27
20010428,15,segud001,2001-04-28
20010430,15,,2001-04-30
20010501,15,whitr002,2001-05-01
20010501,15,parqj001,2001-05-01
20010502,15,fyhrm001,2001-05-02
20010502,15,lodup001,2001-05-02
20010502,15,,2001-05-02
20010503,15,hayec001,2001-05-03
20010503,15,curtc001,2001-05-03
20010504,15,jenkg001,2001-05-04
20010504,15,,2001-05-04
20010505,15,molib001,2001-05-05
20010505,60,bartk001,2001-05-05
20010505,15,ortid001,2001-05-05
20010506,15,osikk001,2001-05-06
20010507,15,fabrj001,2001-05-07
20010507,15,olivd001,2001-05-07
20010508,60,irabh001,2001-05-08
20010508,15,paytj001,2001-05-08
20010508,15,bohab001,2001-05-08
20010509,15,grebc001,2001-05-09
20010510,15,juddm001,2001-05-10
20010510,15,tollb001,2001-05-10
20010510,15,stync001,2001-05-10
20010510,15,,2001-05-10
20010511,15,,2001-05-11
20010511,15,mossd001,2001-05-11
20010511,60,,2001-05-11
20010511,15,harnp001,2001-05-11
20010512,15,priea001,2001-05-12
20010512,15,reyna001,2001-05-12
20010512,15,liebm001,2001-05-12
20010512,15,padiv001,2001-05-12
20010513,15,estes001,2001-05-13
20010513,15,martt003,2001-05-13
20010513,15,kiesb001,2001-05-13
